iter	Logloss
0	0.6789030004
1	0.6644399076
2	0.6565929931
3	0.6461944533
4	0.6345923798
5	0.6271773572
6	0.6188432896
7	0.612905085
8	0.6057772278
9	0.5990059167
10	0.5917626552
11	0.586243261
12	0.5797130751
13	0.5749559106
14	0.5693440711
15	0.5639376769
16	0.5599370778
17	0.5562788255
18	0.5511172527
19	0.5476771492
20	0.5444990624
21	0.5423052649
22	0.53867882
23	0.5369535392
24	0.5345981137
25	0.5316615109
26	0.5289607765
27	0.5266049033
28	0.5239144658
29	0.5212769578
30	0.5195149114
31	0.5168019355
32	0.5146520335
33	0.5125307995
34	0.5106192539
35	0.509333243
36	0.5064022292
37	0.5041083119
38	0.5023861145
39	0.5001090852
40	0.4985365509
41	0.496843791
42	0.4956538423
43	0.4940967422
44	0.4922693328
45	0.4907514085
46	0.4890404194
47	0.4878307389
48	0.486757926
49	0.4848422918
50	0.4840608148
51	0.4818415102
52	0.4797736406
53	0.4784865006
54	0.4769686614
55	0.4755623129
56	0.4744881362
57	0.4731455347
58	0.4723849002
59	0.4715896689
60	0.4700808707
61	0.4686538733
62	0.4672074342
63	0.4665925215
64	0.4652648731
65	0.4641514456
66	0.4632943977
67	0.4622334733
68	0.4610623377
69	0.4605664547
70	0.4598030609
71	0.4587722924
72	0.4575886237
73	0.4566601851
74	0.4561359208
75	0.4551359124
76	0.454244315
77	0.4535051716
78	0.4520529728
79	0.4511345015
80	0.4503809962
81	0.4494197771
82	0.4484097978
83	0.4475979159
84	0.4467986793
85	0.4458443414
86	0.444741993
87	0.4438154047
88	0.4426992433
89	0.4419165391
90	0.4410261774
91	0.4401945954
92	0.4396469833
93	0.4390886499
94	0.4379880031
95	0.437424603
96	0.4367756286
97	0.436132972
98	0.4356329823
99	0.4352041689
100	0.4345958676
101	0.434157798
