iter	Passed	Remaining
0	137	13905
1	138	6927
2	139	4593
3	139	3426
4	140	2724
5	141	2257
6	141	1923
7	142	1672
8	142	1476
9	143	1322
10	144	1194
11	145	1088
12	145	997
13	146	920
14	146	852
15	147	793
16	148	740
17	148	694
18	149	652
19	149	614
20	150	580
21	151	549
22	151	521
23	152	495
24	153	471
25	153	449
26	154	429
27	155	410
28	155	392
29	156	375
30	157	359
31	157	344
32	158	330
33	158	317
34	159	305
35	159	293
36	160	282
37	161	271
38	161	261
39	162	251
40	162	242
41	163	233
42	164	225
43	165	217
44	165	210
45	166	202
46	167	195
47	167	188
48	168	181
49	168	175
50	169	169
51	169	163
52	170	157
53	170	151
54	171	146
55	172	141
56	172	136
57	173	131
58	173	126
59	174	122
60	175	118
61	176	113
62	177	109
63	177	105
64	178	101
65	179	97
66	179	93
67	180	90
68	180	86
69	181	82
70	181	79
71	182	76
72	182	72
73	183	69
74	184	66
75	184	63
76	185	60
77	186	57
78	187	54
79	187	51
80	188	48
81	188	46
82	189	43
83	189	40
84	190	38
85	191	35
86	191	33
87	192	30
88	192	28
89	193	25
90	193	23
91	194	21
92	194	18
93	195	16
94	196	14
95	197	12
96	197	10
97	198	8
98	199	6
99	199	3
100	200	1
101	200	0
